"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00090010","ABBEVILLE, GA US","1990-12-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-10","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-19","0.18",,
"USC00090010","ABBEVILLE, GA US","1990-12-20","0.73",,
"USC00090010","ABBEVILLE, GA US","1990-12-21","0.03",,
"USC00090010","ABBEVILLE, GA US","1990-12-22","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-12-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-12-31","0.08",,
"USC00090010","ABBEVILLE, GA US","1991-01-01","0.03",,
"USC00090010","ABBEVILLE, GA US","1991-01-02","1.53",,
"USC00090010","ABBEVILLE, GA US","1991-01-03","0.18",,
"USC00090010","ABBEVILLE, GA US","1991-01-04","0.05",,
"USC00090010","ABBEVILLE, GA US","1991-01-05","0.01",,
"USC00090010","ABBEVILLE, GA US","1991-01-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-07","0.02",,
"USC00090010","ABBEVILLE, GA US","1991-01-08","0.12",,
"USC00090010","ABBEVILLE, GA US","1991-01-09","0.01",,
"USC00090010","ABBEVILLE, GA US","1991-01-10","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-11","1.49",,
"USC00090010","ABBEVILLE, GA US","1991-01-12","0.87",,
"USC00090010","ABBEVILLE, GA US","1991-01-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-16","0.93",,
"USC00090010","ABBEVILLE, GA US","1991-01-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-19","0.02",,
"USC00090010","ABBEVILLE, GA US","1991-01-20","1.80",,
"USC00090010","ABBEVILLE, GA US","1991-01-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-24","0.54",,
"USC00090010","ABBEVILLE, GA US","1991-01-25","1.08",,
"USC00090010","ABBEVILLE, GA US","1991-01-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-28","0.51",,
"USC00090010","ABBEVILLE, GA US","1991-01-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-01-30","1.72",,
"USC00090010","ABBEVILLE, GA US","1991-01-31","0.82",,
"USC00090010","ABBEVILLE, GA US","1991-02-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-02","0.00",,
